fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share
64,Allstate,ALL,0000899051,2025,10,2,0.2,0,0.0,2,0.2,6,0.6,16,1.6,34,3.4,0,0.0,31,3.1,14,1.4
65,Caterpillar,CAT,0000018230,2023,2,0,0.0,0,0.0,0,0.0,2,1.0,6,3.0,0,0.0,0,0.0,0,0.0,2,1.0
65,Caterpillar,CAT,0000018230,2024,3,0,0.0,1,0.333333,0,0.0,2,0.666667,6,2.0,0,0.0,3,1.0,1,0.333333,3,1.0
65,Caterpillar,CAT,0000018230,2025,4,0,0.0,1,0.25,0,0.0,3,0.75,6,1.5,2,0.5,1,0.25,6,1.5,4,1.0
66,IBM,IBM,0000051143,2023,12,4,0.333333,4,0.333333,0,0.0,4,0.333333,14,1.166667,33,2.75,0,0.0,43,3.583333,20,1.666667
66,IBM,IBM,0000051143,2024,23,7,0.304348,6,0.26087,5,0.217391,5,0.217391,26,1.130435,62,2.695652,1,0.043478,67,2.913043,37,1.608696
66,IBM,IBM,0000051143,2025,21,6,0.285714,6,0.285714,3,0.142857,6,0.285714,23,1.095238,40,1.904762,1,0.047619,43,2.047619,41,1.952381
67,Eli Lilly,LLY,0000059478,2023,14,0,0.0,0,0.0,13,0.928571,1,0.071429,9,0.642857,31,2.214286,3,0.214286,33,2.357143,12,0.857143
67,Eli Lilly,LLY,0000059478,2024,16,1,0.0625,0,0.0,14,0.875,1,0.0625,8,0.5,47,2.9375,3,0.1875,45,2.8125,14,0.875
67,Eli Lilly,LLY,0000059478,2025,20,2,0.1,0,0.0,17,0.85,1,0.05,11,0.55,46,2.3,3,0.15,51,2.55,15,0.75
68,Merck,MRK,0000310158,2023,4,2,0.5,0,0.0,2,0.5,0,0.0,1,0.25,17,4.25,0,0.0,16,4.0,7,1.75
68,Merck,MRK,0000310158,2024,6,2,0.333333,0,0.0,3,0.5,1,0.166667,2,0.333333,19,3.166667,0,0.0,20,3.333333,14,2.333333
68,Merck,MRK,0000310158,2025,7,2,0.285714,0,0.0,5,0.714286,0,0.0,2,0.285714,16,2.285714,0,0.0,20,2.857143,14,2.0
70,Broadcom,AVGO,0001730168,2023,16,2,0.125,12,0.75,0,0.0,2,0.125,37,2.3125,41,2.5625,6,0.375,86,5.375,42,2.625
70,Broadcom,AVGO,0001730168,2024,48,5,0.104167,29,0.604167,0,0.0,14,0.291667,57,1.1875,86,1.791667,7,0.145833,171,3.5625,136,2.833333
70,Broadcom,AVGO,0001730168,2025,63,4,0.063492,34,0.539683,0,0.0,25,0.396825,73,1.15873,83,1.31746,7,0.111111,157,2.492063,184,2.920635
71,Delta Air Lines,DAL,0000027904,2025,12,5,0.416667,5,0.416667,2,0.166667,0,0.0,9,0.75,27,2.25,2,0.166667,31,2.583333,14,1.166667
73,Pfizer,PFE,0000078003,2023,6,1,0.166667,0,0.0,4,0.666667,1,0.166667,3,0.5,20,3.333333,0,0.0,13,2.166667,6,1.0
73,Pfizer,PFE,0000078003,2024,9,2,0.222222,0,0.0,4,0.444444,3,0.333333,3,0.333333,26,2.888889,2,0.222222,14,1.555556,7,0.777778
73,Pfizer,PFE,0000078003,2025,31,4,0.129032,3,0.096774,16,0.516129,8,0.258065,33,1.064516,48,1.548387,3,0.096774,46,1.483871,14,0.451613
74,TD Synnex,SNX,0001177394,2023,5,0,0.0,3,0.6,0,0.0,2,0.4,5,1.0,15,3.0,2,0.4,18,3.6,20,4.0
74,TD Synnex,SNX,0001177394,2024,6,1,0.166667,3,0.5,0,0.0,2,0.333333,6,1.0,20,3.333333,2,0.333333,23,3.833333,21,3.5
74,TD Synnex,SNX,0001177394,2025,20,2,0.1,4,0.2,11,0.55,3,0.15,15,0.75,48,2.4,2,0.1,33,1.65,22,1.1
75,ConocoPhillips,COP,0001163165,2023,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,1,1.0
75,ConocoPhillips,COP,0001163165,2024,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,1,1.0
75,ConocoPhillips,COP,0001163165,2025,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,1,1.0
76,Galaxy Digital,GLXY,0001859392,2025,80,7,0.0875,21,0.2625,14,0.175,38,0.475,30,0.375,95,1.1875,14,0.175,210,2.625,101,1.2625
77,AbbVie,ABBV,0001551152,2024,4,1,0.25,0,0.0,2,0.5,1,0.25,0,0.0,7,1.75,0,0.0,6,1.5,4,1.0
77,AbbVie,ABBV,0001551152,2025,5,2,0.4,1,0.2,1,0.2,1,0.2,0,0.0,7,1.4,0,0.0,6,1.2,4,0.8
78,Prudential Financial,PRU,0001137774,2023,10,2,0.2,0,0.0,5,0.5,3,0.3,7,0.7,58,5.8,4,0.4,50,5.0,3,0.3
78,Prudential Financial,PRU,0001137774,2024,20,3,0.15,0,0.0,12,0.6,5,0.25,14,0.7,75,3.75,4,0.2,72,3.6,18,0.9
78,Prudential Financial,PRU,0001137774,2025,23,7,0.304348,0,0.0,12,0.521739,4,0.173913,15,0.652174,82,3.565217,6,0.26087,83,3.608696,28,1.217391
79,TJX,TJX,0000109198,2025,4,2,0.5,1,0.25,0,0.0,1,0.25,0,0.0,6,1.5,0,0.0,6,1.5,7,1.75
80,Performance Food Group,PFGC,0001618673,2024,3,1,0.333333,0,0.0,2,0.666667,0,0.0,2,0.666667,5,1.666667,0,0.0,4,1.333333,4,1.333333
80,Performance Food Group,PFGC,0001618673,2025,10,3,0.3,0,0.0,6,0.6,1,0.1,18,1.8,38,3.8,3,0.3,22,2.2,10,1.0
81,United Airlines Holdings,UAL,0000100517,2023,6,2,0.333333,0,0.0,4,0.666667,0,0.0,2,0.333333,20,3.333333,3,0.5,9,1.5,12,2.0
81,United Airlines Holdings,UAL,0000100517,2024,7,2,0.285714,0,0.0,5,0.714286,0,0.0,3,0.428571,21,3.0,3,0.428571,10,1.428571,15,2.142857
81,United Airlines Holdings,UAL,0000100517,2025,8,2,0.25,0,0.0,5,0.625,1,0.125,3,0.375,21,2.625,4,0.5,10,1.25,16,2.0
82,Oracle,ORCL,0001341439,2023,13,0,0.0,12,0.923077,0,0.0,1,0.076923,12,0.923077,22,1.692308,2,0.153846,28,2.153846,51,3.923077
82,Oracle,ORCL,0001341439,2024,23,1,0.043478,15,0.652174,4,0.173913,3,0.130435,12,0.521739,53,2.304348,2,0.086957,49,2.130435,72,3.130435
82,Oracle,ORCL,0001341439,2025,30,2,0.066667,16,0.533333,6,0.2,6,0.2,13,0.433333,61,2.033333,2,0.066667,59,1.966667,87,2.9
83,Cisco Systems,CSCO,0000858877,2023,21,1,0.047619,11,0.52381,6,0.285714,3,0.142857,23,1.095238,49,2.333333,0,0.0,55,2.619048,26,1.238095
83,Cisco Systems,CSCO,0000858877,2024,26,4,0.153846,10,0.384615,9,0.346154,3,0.115385,17,0.653846,45,1.730769,0,0.0,43,1.653846,22,0.846154
83,Cisco Systems,CSCO,0000858877,2025,47,4,0.085106,24,0.510638,13,0.276596,6,0.12766,19,0.404255,76,1.617021,1,0.021277,96,2.042553,53,1.12766
84,HP,HPQ,0000047217,2023,19,0,0.0,2,0.105263,9,0.473684,8,0.421053,17,0.894737,28,1.473684,0,0.0,23,1.210526,9,0.473684
84,HP,HPQ,0000047217,2024,33,3,0.090909,9,0.272727,13,0.393939,8,0.242424,27,0.818182,70,2.121212,0,0.0,60,1.818182,31,0.939394
84,HP,HPQ,0000047217,2025,38,3,0.078947,7,0.184211,14,0.368421,14,0.368421,47,1.236842,75,1.973684,0,0.0,64,1.684211,35,0.921053
85,Charter Communications,CHTR,0001091667,2023,9,1,0.111111,0,0.0,7,0.777778,1,0.111111,1,0.111111,17,1.888889,0,0.0,11,1.222222,3,0.333333
85,Charter Communications,CHTR,0001091667,2024,9,1,0.111111,0,0.0,7,0.777778,1,0.111111,1,0.111111,16,1.777778,0,0.0,10,1.111111,3,0.333333
85,Charter Communications,CHTR,0001091667,2025,12,3,0.25,0,0.0,8,0.666667,1,0.083333,3,0.25,25,2.083333,0,0.0,22,1.833333,5,0.416667
86,American Airlines Group,AAL,0000006201,2023,1,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0
86,American Airlines Group,AAL,0000006201,2024,21,9,0.428571,0,0.0,10,0.47619,2,0.095238,13,0.619048,77,3.666667,10,0.47619,51,2.428571,30,1.428571
86,American Airlines Group,AAL,0000006201,2025,28,9,0.321429,0,0.0,17,0.607143,2,0.071429,15,0.535714,77,2.75,12,0.428571,49,1.75,39,1.392857
87,Tyson Foods,TSN,0000100493,2023,6,0,0.0,2,0.333333,0,0.0,4,0.666667,23,3.833333,4,0.666667,0,0.0,3,0.5,1,0.166667
87,Tyson Foods,TSN,0000100493,2024,3,1,0.333333,1,0.333333,0,0.0,1,0.333333,5,1.666667,5,1.666667,0,0.0,4,1.333333,1,0.333333
87,Tyson Foods,TSN,0000100493,2025,4,1,0.25,1,0.25,0,0.0,2,0.5,7,1.75,5,1.25,0,0.0,4,1.0,1,0.25
88,Intel,INTC,0000050863,2023,99,2,0.020202,73,0.737374,9,0.090909,15,0.151515,99,1.0,81,0.818182,12,0.121212,108,1.090909,191,1.929293
88,Intel,INTC,0000050863,2024,88,4,0.045455,56,0.636364,5,0.056818,23,0.261364,93,1.056818,56,0.636364,10,0.113636,80,0.909091,117,1.329545
88,Intel,INTC,0000050863,2025,96,4,0.041667,62,0.645833,6,0.0625,24,0.25,89,0.927083,53,0.552083,15,0.15625,111,1.15625,131,1.364583
89,Enterprise Products Partners,EPD,0001061219,2025,1,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0
90,Ingram Micro Holding,INGM,0001897762,2024,21,2,0.095238,8,0.380952,7,0.333333,4,0.190476,17,0.809524,47,2.238095,0,0.0,34,1.619048,36,1.714286
90,Ingram Micro Holding,INGM,0001897762,2025,24,2,0.083333,8,0.333333,7,0.291667,7,0.291667,23,0.958333,54,2.25,0,0.0,42,1.75,39,1.625
91,General Dynamics,GD,0000040533,2023,5,0,0.0,5,1.0,0,0.0,0,0.0,2,0.4,5,1.0,0,0.0,9,1.8,9,1.8
91,General Dynamics,GD,0000040533,2024,4,0,0.0,4,1.0,0,0.0,0,0.0,2,0.5,4,1.0,0,0.0,6,1.5,8,2.0
91,General Dynamics,GD,0000040533,2025,4,0,0.0,3,0.75,0,0.0,1,0.25,2,0.5,4,1.0,1,0.25,6,1.5,7,1.75
92,Uber Technologies,UBER,0001543151,2023,16,5,0.3125,1,0.0625,9,0.5625,1,0.0625,2,0.125,34,2.125,0,0.0,40,2.5,16,1.0
92,Uber Technologies,UBER,0001543151,2024,16,4,0.25,0,0.0,10,0.625,2,0.125,2,0.125,37,2.3125,2,0.125,39,2.4375,15,0.9375
92,Uber Technologies,UBER,0001543151,2025,19,5,0.263158,0,0.0,10,0.526316,4,0.210526,4,0.210526,52,2.736842,2,0.105263,48,2.526316,21,1.105263
96,Travelers,TRV,0000086312,2023,13,4,0.307692,1,0.076923,1,0.076923,7,0.538462,21,1.615385,16,1.230769,0,0.0,19,1.461538,15,1.153846
96,Travelers,TRV,0000086312,2024,17,7,0.411765,1,0.058824,1,0.058824,8,0.470588,23,1.352941,28,1.647059,0,0.0,34,2.0,20,1.176471
96,Travelers,TRV,0000086312,2025,29,10,0.344828,1,0.034483,5,0.172414,13,0.448276,27,0.931034,46,1.586207,0,0.0,42,1.448276,31,1.068966
97,Bristol-Myers Squibb,BMY,0000014272,2024,6,1,0.166667,1,0.166667,4,0.666667,0,0.0,9,1.5,13,2.166667,3,0.5,9,1.5,5,0.833333
97,Bristol-Myers Squibb,BMY,0000014272,2025,10,3,0.3,3,0.3,4,0.4,0,0.0,11,1.1,17,1.7,4,0.4,18,1.8,8,0.8
98,Coca-Cola,KO,0000021344,2023,4,1,0.25,0,0.0,0,0.0,3,0.75,5,1.25,6,1.5,1,0.25,13,3.25,6,1.5
98,Coca-Cola,KO,0000021344,2024,6,1,0.166667,0,0.0,0,0.0,5,0.833333,8,1.333333,8,1.333333,1,0.166667,15,2.5,7,1.166667
98,Coca-Cola,KO,0000021344,2025,8,1,0.125,0,0.0,0,0.0,7,0.875,10,1.25,9,1.125,1,0.125,17,2.125,7,0.875
99,Nike,NKE,0000320187,2023,1,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0
99,Nike,NKE,0000320187,2024,4,1,0.25,0,0.0,1,0.25,2,0.5,10,2.5,4,1.0,1,0.25,3,0.75,3,0.75
99,Nike,NKE,0000320187,2025,3,1,0.333333,0,0.0,1,0.333333,1,0.333333,2,0.666667,7,2.333333,1,0.333333,4,1.333333,1,0.333333
