fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share,k
58,Archer Daniels Midland,ADM,0000007084,2024,17,0,0.0,1,0.058824,2,0.117647,0,0.0,14,0.823529,10,0.588235,50,2.941176,0,0.0,47,2.764706,31,1.823529,5
58,Archer Daniels Midland,ADM,0000007084,2025,17,1,0.058824,0,0.0,3,0.176471,0,0.0,13,0.764706,4,0.235294,41,2.411765,0,0.0,45,2.647059,32,1.882353,5
59,MetLife,MET,0001099219,2023,11,3,0.272727,0,0.0,0,0.0,0,0.0,8,0.727273,0,0.0,10,0.909091,0,0.0,21,1.909091,14,1.272727,5
59,MetLife,MET,0001099219,2024,13,1,0.076923,3,0.230769,0,0.0,0,0.0,9,0.692308,1,0.076923,13,1.0,0,0.0,27,2.076923,16,1.230769,5
59,MetLife,MET,0001099219,2025,13,3,0.230769,4,0.307692,0,0.0,1,0.076923,5,0.384615,6,0.461538,24,1.846154,0,0.0,35,2.692308,9,0.692308,5
60,HCA Healthcare,HCA,0000860730,2023,11,3,0.272727,0,0.0,1,0.090909,0,0.0,7,0.636364,3,0.272727,19,1.727273,0,0.0,17,1.545455,6,0.545455,5
60,HCA Healthcare,HCA,0000860730,2024,32,2,0.0625,1,0.03125,3,0.09375,0,0.0,26,0.8125,15,0.46875,59,1.84375,3,0.09375,33,1.03125,25,0.78125,5
60,HCA Healthcare,HCA,0000860730,2025,41,3,0.073171,3,0.073171,3,0.073171,5,0.121951,27,0.658537,25,0.609756,69,1.682927,3,0.073171,53,1.292683,41,1.0,5
61,Lockheed Martin,LMT,0000936468,2023,3,0,0.0,1,0.333333,1,0.333333,1,0.333333,0,0.0,0,0.0,6,2.0,0,0.0,6,2.0,2,0.666667,5
61,Lockheed Martin,LMT,0000936468,2024,5,0,0.0,1,0.2,1,0.2,3,0.6,0,0.0,0,0.0,9,1.8,0,0.0,8,1.6,2,0.4,5
61,Lockheed Martin,LMT,0000936468,2025,6,0,0.0,2,0.333333,1,0.166667,3,0.5,0,0.0,2,0.333333,10,1.666667,0,0.0,9,1.5,4,0.666667,5
63,Capital One Financial,COF,0000927628,2023,25,3,0.12,10,0.4,3,0.12,0,0.0,9,0.36,13,0.52,97,3.88,0,0.0,91,3.64,49,1.96,5
63,Capital One Financial,COF,0000927628,2024,30,5,0.166667,8,0.266667,3,0.1,0,0.0,14,0.466667,12,0.4,103,3.433333,4,0.133333,97,3.233333,49,1.633333,5
63,Capital One Financial,COF,0000927628,2025,49,7,0.142857,9,0.183673,5,0.102041,1,0.020408,27,0.55102,18,0.367347,131,2.673469,7,0.142857,135,2.755102,78,1.591837,5
64,Allstate,ALL,0000899051,2023,2,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,3,1.5,1,0.5,5
64,Allstate,ALL,0000899051,2024,9,1,0.111111,3,0.333333,1,0.111111,0,0.0,4,0.444444,13,1.444444,22,2.444444,0,0.0,28,3.111111,9,1.0,5
64,Allstate,ALL,0000899051,2025,10,1,0.1,5,0.5,2,0.2,0,0.0,2,0.2,16,1.6,34,3.4,0,0.0,31,3.1,14,1.4,5
65,Caterpillar,CAT,0000018230,2023,2,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,6,3.0,0,0.0,0,0.0,0,0.0,2,1.0,5
65,Caterpillar,CAT,0000018230,2024,3,0,0.0,2,0.666667,0,0.0,1,0.333333,0,0.0,6,2.0,0,0.0,3,1.0,1,0.333333,3,1.0,5
65,Caterpillar,CAT,0000018230,2025,4,0,0.0,3,0.75,0,0.0,1,0.25,0,0.0,6,1.5,2,0.5,1,0.25,6,1.5,4,1.0,5
66,IBM,IBM,0000051143,2023,12,2,0.166667,3,0.25,3,0.25,4,0.333333,0,0.0,14,1.166667,33,2.75,0,0.0,43,3.583333,20,1.666667,5
66,IBM,IBM,0000051143,2024,23,2,0.086957,5,0.217391,8,0.347826,5,0.217391,3,0.130435,26,1.130435,62,2.695652,1,0.043478,67,2.913043,37,1.608696,5
66,IBM,IBM,0000051143,2025,21,1,0.047619,5,0.238095,6,0.285714,6,0.285714,3,0.142857,23,1.095238,40,1.904762,1,0.047619,43,2.047619,41,1.952381,5
67,Eli Lilly,LLY,0000059478,2023,14,1,0.071429,0,0.0,0,0.0,0,0.0,13,0.928571,9,0.642857,31,2.214286,3,0.214286,33,2.357143,12,0.857143,5
67,Eli Lilly,LLY,0000059478,2024,16,1,0.0625,0,0.0,1,0.0625,0,0.0,14,0.875,8,0.5,47,2.9375,3,0.1875,45,2.8125,14,0.875,5
67,Eli Lilly,LLY,0000059478,2025,20,2,0.1,0,0.0,1,0.05,0,0.0,17,0.85,11,0.55,46,2.3,3,0.15,51,2.55,15,0.75,5
68,Merck,MRK,0000310158,2023,4,0,0.0,0,0.0,2,0.5,0,0.0,2,0.5,1,0.25,17,4.25,0,0.0,16,4.0,7,1.75,5
68,Merck,MRK,0000310158,2024,6,1,0.166667,0,0.0,1,0.166667,0,0.0,4,0.666667,2,0.333333,19,3.166667,0,0.0,20,3.333333,14,2.333333,5
68,Merck,MRK,0000310158,2025,7,0,0.0,0,0.0,2,0.285714,0,0.0,5,0.714286,2,0.285714,16,2.285714,0,0.0,20,2.857143,14,2.0,5
70,Broadcom,AVGO,0001730168,2023,16,1,0.0625,2,0.125,2,0.125,11,0.6875,0,0.0,37,2.3125,41,2.5625,6,0.375,86,5.375,42,2.625,5
70,Broadcom,AVGO,0001730168,2024,48,1,0.020833,15,0.3125,4,0.083333,27,0.5625,1,0.020833,57,1.1875,86,1.791667,7,0.145833,171,3.5625,136,2.833333,5
70,Broadcom,AVGO,0001730168,2025,63,2,0.031746,27,0.428571,3,0.047619,30,0.47619,1,0.015873,73,1.15873,83,1.31746,7,0.111111,157,2.492063,184,2.920635,5
71,Delta Air Lines,DAL,0000027904,2025,12,3,0.25,0,0.0,2,0.166667,5,0.416667,2,0.166667,9,0.75,27,2.25,2,0.166667,31,2.583333,14,1.166667,5
73,Pfizer,PFE,0000078003,2023,6,1,0.166667,0,0.0,2,0.333333,0,0.0,3,0.5,3,0.5,20,3.333333,0,0.0,13,2.166667,6,1.0,5
73,Pfizer,PFE,0000078003,2024,9,2,0.222222,2,0.222222,2,0.222222,0,0.0,3,0.333333,3,0.333333,26,2.888889,2,0.222222,14,1.555556,7,0.777778,5
73,Pfizer,PFE,0000078003,2025,31,4,0.129032,8,0.258065,1,0.032258,1,0.032258,17,0.548387,33,1.064516,48,1.548387,3,0.096774,46,1.483871,14,0.451613,5
74,TD Synnex,SNX,0001177394,2023,5,0,0.0,2,0.4,0,0.0,3,0.6,0,0.0,5,1.0,15,3.0,2,0.4,18,3.6,20,4.0,5
74,TD Synnex,SNX,0001177394,2024,6,0,0.0,3,0.5,1,0.166667,2,0.333333,0,0.0,6,1.0,20,3.333333,2,0.333333,23,3.833333,21,3.5,5
74,TD Synnex,SNX,0001177394,2025,20,1,0.05,3,0.15,1,0.05,4,0.2,11,0.55,15,0.75,48,2.4,2,0.1,33,1.65,22,1.1,5
75,ConocoPhillips,COP,0001163165,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,1,1.0,5
75,ConocoPhillips,COP,0001163165,2024,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,1,1.0,5
75,ConocoPhillips,COP,0001163165,2025,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,1,1.0,5
76,Galaxy Digital,GLXY,0001859392,2025,80,3,0.0375,45,0.5625,3,0.0375,13,0.1625,16,0.2,30,0.375,95,1.1875,14,0.175,210,2.625,101,1.2625,5
77,AbbVie,ABBV,0001551152,2024,4,1,0.25,1,0.25,0,0.0,0,0.0,2,0.5,0,0.0,7,1.75,0,0.0,6,1.5,4,1.0,5
77,AbbVie,ABBV,0001551152,2025,5,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2,0,0.0,7,1.4,0,0.0,6,1.2,4,0.8,5
78,Prudential Financial,PRU,0001137774,2023,10,1,0.1,2,0.2,2,0.2,0,0.0,5,0.5,7,0.7,58,5.8,4,0.4,50,5.0,3,0.3,5
78,Prudential Financial,PRU,0001137774,2024,20,3,0.15,2,0.1,2,0.1,0,0.0,13,0.65,14,0.7,75,3.75,4,0.2,72,3.6,18,0.9,5
78,Prudential Financial,PRU,0001137774,2025,23,2,0.086957,2,0.086957,7,0.304348,0,0.0,12,0.521739,15,0.652174,82,3.565217,6,0.26087,83,3.608696,28,1.217391,5
79,TJX,TJX,0000109198,2025,4,0,0.0,2,0.5,2,0.5,0,0.0,0,0.0,0,0.0,6,1.5,0,0.0,6,1.5,7,1.75,5
80,Performance Food Group,PFGC,0001618673,2024,3,0,0.0,0,0.0,1,0.333333,0,0.0,2,0.666667,2,0.666667,5,1.666667,0,0.0,4,1.333333,4,1.333333,5
80,Performance Food Group,PFGC,0001618673,2025,10,2,0.2,0,0.0,2,0.2,0,0.0,6,0.6,18,1.8,38,3.8,3,0.3,22,2.2,10,1.0,5
81,United Airlines Holdings,UAL,0000100517,2023,6,0,0.0,0,0.0,2,0.333333,0,0.0,4,0.666667,2,0.333333,20,3.333333,3,0.5,9,1.5,12,2.0,5
81,United Airlines Holdings,UAL,0000100517,2024,7,0,0.0,1,0.142857,2,0.285714,0,0.0,4,0.571429,3,0.428571,21,3.0,3,0.428571,10,1.428571,15,2.142857,5
81,United Airlines Holdings,UAL,0000100517,2025,8,0,0.0,1,0.125,2,0.25,0,0.0,5,0.625,3,0.375,21,2.625,4,0.5,10,1.25,16,2.0,5
82,Oracle,ORCL,0001341439,2023,13,0,0.0,3,0.230769,0,0.0,10,0.769231,0,0.0,12,0.923077,22,1.692308,2,0.153846,28,2.153846,51,3.923077,5
82,Oracle,ORCL,0001341439,2024,23,2,0.086957,3,0.130435,0,0.0,14,0.608696,4,0.173913,12,0.521739,53,2.304348,2,0.086957,49,2.130435,72,3.130435,5
82,Oracle,ORCL,0001341439,2025,30,4,0.133333,7,0.233333,0,0.0,14,0.466667,5,0.166667,13,0.433333,61,2.033333,2,0.066667,59,1.966667,87,2.9,5
83,Cisco Systems,CSCO,0000858877,2023,21,2,0.095238,1,0.047619,1,0.047619,11,0.52381,6,0.285714,23,1.095238,49,2.333333,0,0.0,55,2.619048,26,1.238095,5
83,Cisco Systems,CSCO,0000858877,2024,26,3,0.115385,4,0.153846,3,0.115385,7,0.269231,9,0.346154,17,0.653846,45,1.730769,0,0.0,43,1.653846,22,0.846154,5
83,Cisco Systems,CSCO,0000858877,2025,47,2,0.042553,8,0.170213,5,0.106383,19,0.404255,13,0.276596,19,0.404255,76,1.617021,1,0.021277,96,2.042553,53,1.12766,5
84,HP,HPQ,0000047217,2023,19,1,0.052632,8,0.421053,0,0.0,1,0.052632,9,0.473684,17,0.894737,28,1.473684,0,0.0,23,1.210526,9,0.473684,5
84,HP,HPQ,0000047217,2024,33,1,0.030303,9,0.272727,4,0.121212,6,0.181818,13,0.393939,27,0.818182,70,2.121212,0,0.0,60,1.818182,31,0.939394,5
84,HP,HPQ,0000047217,2025,38,1,0.026316,15,0.394737,4,0.105263,5,0.131579,13,0.342105,47,1.236842,75,1.973684,0,0.0,64,1.684211,35,0.921053,5
85,Charter Communications,CHTR,0001091667,2023,9,0,0.0,1,0.111111,1,0.111111,0,0.0,7,0.777778,1,0.111111,17,1.888889,0,0.0,11,1.222222,3,0.333333,5
85,Charter Communications,CHTR,0001091667,2024,9,0,0.0,1,0.111111,1,0.111111,0,0.0,7,0.777778,1,0.111111,16,1.777778,0,0.0,10,1.111111,3,0.333333,5
85,Charter Communications,CHTR,0001091667,2025,12,3,0.25,1,0.083333,1,0.083333,0,0.0,7,0.583333,3,0.25,25,2.083333,0,0.0,22,1.833333,5,0.416667,5
86,American Airlines Group,AAL,0000006201,2023,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,5
86,American Airlines Group,AAL,0000006201,2024,21,2,0.095238,1,0.047619,7,0.333333,0,0.0,11,0.52381,13,0.619048,77,3.666667,10,0.47619,51,2.428571,30,1.428571,5
86,American Airlines Group,AAL,0000006201,2025,28,3,0.107143,1,0.035714,7,0.25,0,0.0,17,0.607143,15,0.535714,77,2.75,12,0.428571,49,1.75,39,1.392857,5
87,Tyson Foods,TSN,0000100493,2023,6,1,0.166667,4,0.666667,0,0.0,1,0.166667,0,0.0,23,3.833333,4,0.666667,0,0.0,3,0.5,1,0.166667,5
87,Tyson Foods,TSN,0000100493,2024,3,1,0.333333,0,0.0,1,0.333333,1,0.333333,0,0.0,5,1.666667,5,1.666667,0,0.0,4,1.333333,1,0.333333,5
87,Tyson Foods,TSN,0000100493,2025,4,0,0.0,2,0.5,1,0.25,1,0.25,0,0.0,7,1.75,5,1.25,0,0.0,4,1.0,1,0.25,5
88,Intel,INTC,0000050863,2023,99,3,0.030303,15,0.151515,1,0.010101,71,0.717172,9,0.090909,99,1.0,81,0.818182,12,0.121212,108,1.090909,191,1.929293,5
88,Intel,INTC,0000050863,2024,88,3,0.034091,21,0.238636,3,0.034091,56,0.636364,5,0.056818,93,1.056818,56,0.636364,10,0.113636,80,0.909091,117,1.329545,5
88,Intel,INTC,0000050863,2025,96,3,0.03125,25,0.260417,3,0.03125,59,0.614583,6,0.0625,89,0.927083,53,0.552083,15,0.15625,111,1.15625,131,1.364583,5
89,Enterprise Products Partners,EPD,0001061219,2025,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,1,1.0,0,0.0,5
90,Ingram Micro Holding,INGM,0001897762,2024,21,1,0.047619,6,0.285714,1,0.047619,6,0.285714,7,0.333333,17,0.809524,47,2.238095,0,0.0,34,1.619048,36,1.714286,5
90,Ingram Micro Holding,INGM,0001897762,2025,24,2,0.083333,7,0.291667,1,0.041667,7,0.291667,7,0.291667,23,0.958333,54,2.25,0,0.0,42,1.75,39,1.625,5
91,General Dynamics,GD,0000040533,2023,5,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,2,0.4,5,1.0,0,0.0,9,1.8,9,1.8,5
91,General Dynamics,GD,0000040533,2024,4,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,2,0.5,4,1.0,0,0.0,6,1.5,8,2.0,5
91,General Dynamics,GD,0000040533,2025,4,0,0.0,1,0.25,0,0.0,3,0.75,0,0.0,2,0.5,4,1.0,1,0.25,6,1.5,7,1.75,5
92,Uber Technologies,UBER,0001543151,2023,16,3,0.1875,1,0.0625,2,0.125,1,0.0625,9,0.5625,2,0.125,34,2.125,0,0.0,40,2.5,16,1.0,5
92,Uber Technologies,UBER,0001543151,2024,16,4,0.25,1,0.0625,1,0.0625,0,0.0,10,0.625,2,0.125,37,2.3125,2,0.125,39,2.4375,15,0.9375,5
92,Uber Technologies,UBER,0001543151,2025,19,6,0.315789,1,0.052632,2,0.105263,0,0.0,10,0.526316,4,0.210526,52,2.736842,2,0.105263,48,2.526316,21,1.105263,5
96,Travelers,TRV,0000086312,2023,13,1,0.076923,8,0.615385,2,0.153846,0,0.0,2,0.153846,21,1.615385,16,1.230769,0,0.0,19,1.461538,15,1.153846,5
96,Travelers,TRV,0000086312,2024,17,3,0.176471,8,0.470588,5,0.294118,0,0.0,1,0.058824,23,1.352941,28,1.647059,0,0.0,34,2.0,20,1.176471,5
96,Travelers,TRV,0000086312,2025,29,4,0.137931,12,0.413793,8,0.275862,0,0.0,5,0.172414,27,0.931034,46,1.586207,0,0.0,42,1.448276,31,1.068966,5
97,Bristol-Myers Squibb,BMY,0000014272,2024,6,0,0.0,0,0.0,2,0.333333,1,0.166667,3,0.5,9,1.5,13,2.166667,3,0.5,9,1.5,5,0.833333,5
97,Bristol-Myers Squibb,BMY,0000014272,2025,10,1,0.1,0,0.0,3,0.3,3,0.3,3,0.3,11,1.1,17,1.7,4,0.4,18,1.8,8,0.8,5
98,Coca-Cola,KO,0000021344,2023,4,1,0.25,2,0.5,1,0.25,0,0.0,0,0.0,5,1.25,6,1.5,1,0.25,13,3.25,6,1.5,5
98,Coca-Cola,KO,0000021344,2024,6,2,0.333333,3,0.5,1,0.166667,0,0.0,0,0.0,8,1.333333,8,1.333333,1,0.166667,15,2.5,7,1.166667,5
98,Coca-Cola,KO,0000021344,2025,8,2,0.25,5,0.625,1,0.125,0,0.0,0,0.0,10,1.25,9,1.125,1,0.125,17,2.125,7,0.875,5
99,Nike,NKE,0000320187,2023,1,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,5
99,Nike,NKE,0000320187,2024,4,0,0.0,2,0.5,1,0.25,0,0.0,1,0.25,10,2.5,4,1.0,1,0.25,3,0.75,3,0.75,5
99,Nike,NKE,0000320187,2025,3,0,0.0,1,0.333333,1,0.333333,0,0.0,1,0.333333,2,0.666667,7,2.333333,1,0.333333,4,1.333333,1,0.333333,5
